No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Install via package manager,Install Base UI using npm/yarn/pnpm instead of copying files,npm install @base-ui/react,Manually copy components,npm i @base-ui/react,npx shadcn@latest add button,High,https://base-ui.com/react/overview/quick-start
2,Setup,Isolate portals,Add isolation: isolate to the app root to fix portal stacking contexts,Add isolation to root layout,Ignore stacking contexts,".root { isolation: isolate; }",No isolation styles,High,https://base-ui.com/react/overview/quick-start
3,Setup,Fix iOS Safari backdrops,"Add relative positioning to body to ensure backdrops cover the visual viewport on iOS 26+",Add position: relative to body,Use position: absolute on body,"body { position: relative; }","body { position: absolute; }",Medium,https://base-ui.com/react/overview/quick-start
4,Styling,Apply styles externally,"Use CSS Modules, Tailwind, or CSS-in-JS since Base UI is unstyled",Pass classes via className prop,Expect built-in default styles,"<Popover.Popup className={styles.Popup}>","<Popover.Popup>",High,https://base-ui.com/react/overview/quick-start
5,Styling,Animate with data attributes,Use data-state and other data-* attributes for CSS transitions and animations,"Target data-state=""open"" in CSS",Use JS for simple animations,".popup[data-state=""open""] { opacity: 1; }",".popup.is-open { opacity: 1; }",Medium,https://base-ui.com/react/overview/quick-start
6,Composition,Use render prop,"Pass a React element or function to the render prop to change the underlying DOM element",Use render={<a />} for links,Use asChild pattern,"<Menu.Item render={<a href=""/"" />}>","<Menu.Item asChild><a href=""/"" /></Menu.Item>",High,https://base-ui.com/react/handbook/composition
7,Composition,Nest render props,Nest render props deeply when composing multiple Base UI components,Nest render props,Wrap components incorrectly,"<Tooltip.Trigger render={<Dialog.Trigger render={<button/>} />} />","<Tooltip.Trigger><Dialog.Trigger><button/></Dialog.Trigger></Tooltip.Trigger>",Medium,https://base-ui.com/react/handbook/composition
8,Components,Use dotted sub-components,Assemble components using their namespaced parts like Select.Root and Select.Trigger,Use <Component.Part> syntax,Use flat component names,"<Select.Root><Select.Trigger/></Select.Root>","<Select><SelectTrigger/></Select>",High,https://base-ui.com/react/components/select
9,Popups,Use Portals for popups,Wrap floating elements in a Portal to ensure they render above other content,Use <Component.Portal>,Render popups inline without portal,"<Popover.Portal><Popover.Popup/></Popover.Portal>","<Popover.Root><Popover.Popup/></Popover.Root>",High,https://base-ui.com/react/overview/quick-start
10,Popups,Use Positioner,"Use Positioner to anchor popups to their triggers and handle collision",Wrap Popup in Positioner,Manually position popups,"<Popover.Positioner><Popover.Popup/></Popover.Positioner>","<Popover.Popup style={{ top: 10 }} />",High,https://base-ui.com/react/overview/quick-start
11,Forms,Provide accessible names,"Label form controls using the provided Label component or aria-label",Use <Component.Label>,Leave inputs without labels,"<Select.Root><Select.Label>Theme</Select.Label>","<Select.Root><span>Theme</span>",High,https://base-ui.com/react/components/select
12,Select,Format Select value,"Pass a function as children to Select.Value to render formatted values",Use function as children in Value,Manually sync value state for formatting,"<Select.Value>{(value) => items[value]}</Select.Value>","<span>{items[selectedValue]}</span>",Medium,https://base-ui.com/react/components/select
13,Select,Prefer Combobox for large lists,Use Combobox instead of Select when items need filtering,Use Combobox for filterable lists,Use Select for 100+ items,"<Combobox.Root>","<Select.Root>",Medium,https://base-ui.com/react/components/combobox
14,TypeScript,Create typed wrappers,Pass generic type parameters when wrapping components to maintain type safety,Export generic wrapper function,Use any or lose generic types,"function MySelect<V>(props: Select.Root.Props<V>)","function MySelect(props: any)",Medium,https://base-ui.com/react/components/select
15,State,Handle uncontrolled state,"Use defaultOpen or defaultValue for uncontrolled components",Use defaultValue,Use value without onChange,"<Select.Root defaultValue=""apple"">","<Select.Root value=""apple"">",Medium,https://base-ui.com/react/components/select
16,Tree-shaking,Import specific components,"Import components from their specific subpaths for better tree-shaking","Import from @base-ui/react/component",Import everything from root,"import { Popover } from '@base-ui/react/popover'","import { Popover } from '@base-ui/react'",Medium,https://base-ui.com/react/overview/quick-start
